row,field,value,message,suggested_fix
1047,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1048,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1049,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1050,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1051,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1052,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1053,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1054,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1055,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1056,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1057,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1058,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1059,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1060,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1061,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1062,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1063,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1064,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1065,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1066,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1067,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1068,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1069,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1070,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1071,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1072,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1073,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1074,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1075,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1076,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1077,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1078,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1079,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1080,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1081,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1082,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1083,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1084,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1085,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1086,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1087,store_name,BORING ROAD PATNA,Store 'BORING ROAD PATNA' not found,Upload store master first or correct store name
1088,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1089,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1090,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1091,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1092,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1093,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1094,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1095,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1096,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1097,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1098,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1099,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1100,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1101,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1102,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
1103,store_name,UTKAL MALL  BHUBANESWAR,Store 'UTKAL MALL  BHUBANESWAR' not found,Upload store master first or correct store name
