buyer_name,vendor_name,sku_code,category,fabric,TOP COLOUR,colour,colour_family,mrp,story,sub_story,SUB STORY 2,store_group_rule,style_risk_group,size,total_buy_qty,ecom_reserved_qty,ars_reserved_qty,expected_first_allocation_qty
David,Design world,EWA5CD22361A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,L,0,0,0,0
David,Design world,EWA5CD22361A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,XL,0,0,0,0
David,Design world,EWA5CD22361A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,2XL,0,0,0,0
David,Design world,EWA5CD22361A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,S/M,48,5,15,28
David,Design world,EWA5CD22361A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,L/XL,32,3,10,19
David,Design world,EWS5CD21409A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8998,(blank),(blank),(blank),All Stores,No Group,XS,23,2,7,14
David,Design world,EWS5CD21409A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8998,(blank),(blank),(blank),All Stores,No Group,S,45,4,14,27
David,Design world,EWS5CD21409A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8998,(blank),(blank),(blank),All Stores,No Group,M,45,4,14,27
David,Design world,EWS5CD21409A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8998,(blank),(blank),(blank),All Stores,No Group,L,68,5,22,41
David,Design world,EWS5CD21409A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8998,(blank),(blank),(blank),All Stores,No Group,XL,68,5,22,41
David,Design world,EWS5CD21409A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8998,(blank),(blank),(blank),All Stores,No Group,2XL,0,0,0,0
David,Design world,EWS5CD21409A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8998,(blank),(blank),(blank),All Stores,No Group,S/M,0,0,0,0
David,Design world,EWS5CD21409A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8998,(blank),(blank),(blank),All Stores,No Group,L/XL,0,0,0,0
David,Design world,EWS5CD21410A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8498,(blank),(blank),(blank),All Stores,No Group,XS,21,2,7,12
David,Design world,EWS5CD21410A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8498,(blank),(blank),(blank),All Stores,No Group,S,63,5,20,38
David,Design world,EWS5CD21410A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8498,(blank),(blank),(blank),All Stores,No Group,M,63,5,20,38
David,Design world,EWS5CD21410A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8498,(blank),(blank),(blank),All Stores,No Group,L,42,3,14,25
David,Design world,EWS5CD21410A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8498,(blank),(blank),(blank),All Stores,No Group,XL,42,3,14,25
David,Design world,EWS5CD21410A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8498,(blank),(blank),(blank),All Stores,No Group,2XL,21,2,7,12
David,Design world,EWS5CD21410A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8498,(blank),(blank),(blank),All Stores,No Group,S/M,0,0,0,0
David,Design world,EWS5CD21410A,Salwar Suit,Tissue,Beige,BEIGE,NEUTRAL,8498,(blank),(blank),(blank),All Stores,No Group,L/XL,0,0,0,0
David,Design world,EWS6CD22999A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,XS,28,2,9,17
David,Design world,EWS6CD22999A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,S,56,3,19,34
David,Design world,EWS6CD22999A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,M,84,5,28,51
David,Design world,EWS6CD22999A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,L,84,5,28,51
David,Design world,EWS6CD22999A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,XL,56,3,19,34
David,Design world,EWS6CD22999A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,2XL,28,2,9,17
David,Design world,EWS6CD22999A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,S/M,0,0,0,0
David,Design world,EWS6CD22999A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,L/XL,0,0,0,0
David,Design world,EWS6CD23000A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,XS,28,2,9,17
David,Design world,EWS6CD23000A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,S,56,3,19,34
David,Design world,EWS6CD23000A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,M,84,5,28,51
David,Design world,EWS6CD23000A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,L,84,5,28,51
David,Design world,EWS6CD23000A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,XL,56,3,19,34
David,Design world,EWS6CD23000A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,2XL,28,2,9,17
David,Design world,EWS6CD23000A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,S/M,0,0,0,0
David,Design world,EWS6CD23000A,Salwar Suit,Crepe,Red,RED,RED,5998,Red Story,(blank),(blank),"A+, A & B Stores",No Group,L/XL,0,0,0,0
